Date,Sum of USAGE,Sum of COST,System Production (Wh),Production(kWh),Day,MaxTemp,AvgTemp,MinTemp,CostPerkWH,Production_Overage,Production_Shortfall,Total_Usage,Negative_Production_Shortfall
2024-01-01,47.019999999999996,5.740000000000003,0,0.0,1,32,30.4,27,0.12207571246278187,,-47.019999999999996,47.019999999999996,-47.019999999999996
2024-01-02,51.42,6.550000000000002,0,0.0,2,39,31.7,26,0.12738234150136135,,-51.42,51.42,-51.42
2024-01-03,37.06999999999999,4.759999999999999,0,0.0,3,36,33.1,31,0.12840571891016994,,-37.06999999999999,37.06999999999999,-37.06999999999999
2024-01-04,34.02,4.359999999999999,0,0.0,4,35,31.2,25,0.1281599059376837,,-34.02,34.02,-34.02
2024-01-05,33.71,4.27,0,0.0,5,37,32.1,27,0.1266686443191931,,-33.71,33.71,-33.71
2024-01-06,37.75,4.839999999999999,0,0.0,6,33,32.2,31,0.1282119205298013,,-37.75,37.75,-37.75
2024-01-07,37.730000000000004,4.849999999999998,0,0.0,7,34,32.1,30,0.12854492446329174,,-37.730000000000004,37.730000000000004,-37.730000000000004
2024-01-08,37.269999999999996,4.740000000000001,2580,2.58,8,36,33.8,31,0.12718003756372423,,-37.269999999999996,39.849999999999994,-37.269999999999996
2024-01-09,43.980000000000004,5.64,576,0.576,9,36,34.1,33,0.1282401091405184,,-43.980000000000004,44.556000000000004,-43.980000000000004
2024-01-10,38.220000000000006,4.880000000000001,979,0.979,10,34,31.9,30,0.12768184196755625,,-38.220000000000006,39.199000000000005,-38.220000000000006
2024-01-11,36.77,4.670000000000002,339,0.339,11,34,31.2,27,0.12700571117759046,,-36.77,37.109,-36.77
2024-01-12,44.480000000000004,5.68,1,0.001,12,36,33.8,30,0.1276978417266187,,-44.480000000000004,44.481,-44.480000000000004
2024-01-13,54.17,6.91,17,0.017,13,32,17.9,1,0.12756138083810226,,-54.17,54.187000000000005,-54.17
2024-01-14,35.629999999999995,4.5500000000000025,260,0.26,14,3,-6.6,-10,0.12770137524557965,,-35.629999999999995,35.88999999999999,-35.629999999999995
2024-01-15,40.26,5.129999999999999,150,0.15,15,1,-4.6,-10,0.12742175856929955,,-40.26,40.41,-40.26
2024-01-16,60.89,7.73,342,0.342,16,3,-0.5,-6,0.12695023813434061,,-60.89,61.232,-60.89
2024-01-17,33.4,4.26,173,0.173,17,20,11.9,3,0.12754491017964073,,-33.4,33.573,-33.4
2024-01-18,29.220000000000002,3.7300000000000004,285,0.285,18,27,18.8,12,0.12765229295003422,,-29.220000000000002,29.505000000000003,-29.220000000000002
2024-01-19,35.11,4.470000000000001,145,0.145,19,14,10.1,5,0.1273141555112504,,-35.11,35.255,-35.11
2024-01-20,37.47,4.790000000000001,454,0.454,20,18,10.4,4,0.12783560181478518,,-37.47,37.924,-37.47
2024-01-21,58.269999999999996,7.420000000000001,395,0.395,21,21,12.3,1,0.12733825296035697,,-58.269999999999996,58.665,-58.269999999999996
2024-01-22,52.63999999999999,6.73,2,0.002,22,34,28.9,22,0.12784954407294835,,-52.63999999999999,52.641999999999996,-52.63999999999999
2024-01-23,30.98,3.9299999999999993,2684,2.684,23,37,34.6,33,0.12685603615235633,,-30.98,33.664,-30.98
2024-01-24,18.400000000000006,2.360000000000001,9782,9.782,24,37,35.7,34,0.12826086956521743,,-18.400000000000006,28.182000000000006,-18.400000000000006
2024-01-25,16.839999999999996,2.1400000000000006,13385,13.385,25,38,36.8,35,0.12707838479809982,,-16.839999999999996,30.224999999999994,-16.839999999999996
2024-01-26,18.83,2.380000000000001,10261,10.261,26,40,38.1,37,0.1263940520446097,,-18.83,29.090999999999998,-18.83
2024-01-27,20.650000000000006,2.6500000000000012,12979,12.979,27,40,37.4,36,0.12832929782082328,,-20.650000000000006,33.629000000000005,-20.650000000000006
2024-01-28,25.570000000000004,3.2800000000000002,11161,11.161,28,39,36.7,33,0.1282753226437231,,-25.570000000000004,36.731,-25.570000000000004
2024-01-29,7.410000000000001,0.9800000000000006,26238,26.238,29,39,34.5,30,0.1322537112010797,,-7.410000000000001,33.648,-7.410000000000001
2024-01-30,96.24,12.31,11407,11.407,30,41,38.3,37,0.12790939318370742,,-96.24,107.64699999999999,-96.24
2024-01-31,75.17,9.570000000000004,13980,13.98,31,38,37.1,36,0.1273114274311561,,-75.17,89.15,-75.17
2024-02-01,-12.17,-1.8000000000000007,39140,39.14,1,55,40.3,35,0.14790468364831558,12.17,,26.97,-0.0
2024-02-02,56.71,8.310000000000004,11567,11.567,2,41,36.4,32,0.14653500264503622,,-56.71,68.277,-56.71
2024-02-03,12.200000000000001,1.8000000000000007,36799,36.799,3,42,33.4,30,0.14754098360655743,,-12.200000000000001,48.999,-12.200000000000001
2024-02-04,-3.7900000000000014,-0.5400000000000001,42425,42.425,4,46,35.6,29,0.14248021108179418,3.7900000000000014,,38.635,-0.0
2024-02-05,21.409999999999997,3.130000000000001,16852,16.852,5,40,34.6,30,0.1461933675852406,,-21.409999999999997,38.262,-21.409999999999997
2024-02-06,12.48,1.8200000000000005,27020,27.02,6,48,36.7,32,0.14583333333333337,,-12.48,39.5,-12.48
2024-02-07,12.769999999999998,1.8700000000000006,21399,21.399,7,48,39.3,31,0.1464369616288176,,-12.769999999999998,34.169,-12.769999999999998
2024-02-08,-1.570000000000003,-0.20999999999999946,31689,31.689,8,57,53.1,45,0.1337579617834389,1.570000000000003,,30.118999999999996,-0.0
2024-02-09,-7.13,-1.0199999999999998,47343,47.343,9,55,47.2,37,0.14305750350631133,7.13,,40.213,-0.0
2024-02-10,26.439999999999998,3.9,19222,19.222,10,41,35.6,30,0.1475037821482602,,-26.439999999999998,45.662,-26.439999999999998
2024-02-11,9.77,1.4500000000000004,37199,37.199,11,40,32.1,27,0.1484135107471853,,-9.77,46.968999999999994,-9.77
2024-02-12,-10.999999999999996,-1.6099999999999999,49690,49.69,12,46,35.5,26,0.1463636363636364,10.999999999999996,,38.69,-0.0
2024-02-13,-0.1999999999999953,-0.019999999999999685,36259,36.259,13,40,33.7,29,0.10000000000000078,0.1999999999999953,,36.059000000000005,-0.0
2024-02-14,-16.39,-2.420000000000001,50811,50.811,14,46,37.2,26,0.14765100671140943,16.39,,34.421,-0.0
2024-02-15,12.909999999999998,1.9300000000000008,25492,25.492,15,44,39.3,31,0.14949651432997685,,-12.909999999999998,38.402,-12.909999999999998
2024-02-16,31.35,4.62,22295,22.295,16,32,28.0,19,0.14736842105263157,,-31.35,53.645,-31.35
2024-02-17,-19.340000000000003,-2.8499999999999988,56263,56.263,17,29,20.7,13,0.1473629782833505,19.340000000000003,,36.922999999999995,-0.0
2024-02-18,-16.609999999999996,-2.4499999999999997,55571,55.571,18,45,33.5,24,0.14750150511739918,16.609999999999996,,38.961,-0.0
2024-02-19,25.869999999999997,3.85,42457,42.457,19,50,36.8,23,0.14882102821801316,,-25.869999999999997,68.327,-25.869999999999997
2024-02-20,-21.279999999999994,-3.0900000000000003,53988,53.988,20,57,44.4,30,0.14520676691729328,21.279999999999994,,32.708000000000006,-0.0
2024-02-21,-5.550000000000006,-0.7999999999999985,39315,39.315,21,63,53.2,46,0.14414414414414373,5.550000000000006,,33.76499999999999,-0.0
2024-02-22,-8.82,-1.3099999999999998,41632,41.632,22,60,51.8,42,0.14852607709750565,8.82,,32.812,-0.0
2024-02-23,-12.870000000000003,-1.91,51319,51.319,23,51,35.8,28,0.14840714840714836,12.870000000000003,,38.449,-0.0
2024-02-24,-0.12000000000000488,-0.009999999999999634,44832,44.832,24,35,28.2,20,0.08333333333332689,0.12000000000000488,,44.711999999999996,-0.0
2024-02-25,-14.07000000000001,-2.0600000000000014,50271,50.271,25,60,45.9,32,0.14641080312722105,14.07000000000001,,36.20099999999999,-0.0
2024-02-26,-17.790000000000003,-2.6300000000000003,53965,53.965,26,71,55.8,38,0.14783586284429454,17.790000000000003,,36.175,-0.0
2024-02-27,-23.950000000000014,-3.5100000000000016,51680,51.68,27,73,60.3,53,0.1465553235908142,23.950000000000014,,27.729999999999986,-0.0
2024-02-28,-4.5,-0.6599999999999993,43588,43.588,28,50,28.6,20,0.1466666666666665,4.5,,39.088,-0.0
2024-02-29,-22.820000000000004,-3.3299999999999996,62605,62.605,29,45,32.5,20,0.1459246275197195,22.820000000000004,,39.785,-0.0
2024-03-01,-12.339999999999996,-1.8200000000000005,45706,45.706,1,46,40.2,31,0.14748784440842796,12.339999999999996,,33.36600000000001,-0.0
2024-03-02,-25.760000000000005,-3.78,59485,59.485,2,59,47.9,35,0.14673913043478257,25.760000000000005,,33.724999999999994,-0.0
2024-03-03,-20.82999999999999,-3.05,58809,58.809,3,72,58.0,44,0.1464234277484398,20.82999999999999,,37.979000000000006,-0.0
2024-03-04,10.36,1.5300000000000005,21647,21.647,4,72,59.9,44,0.14768339768339775,,-10.36,32.007,-10.36
2024-03-05,6.97,1.0200000000000007,21823,21.823,5,44,41.6,40,0.14634146341463425,,-6.97,28.793,-6.97
2024-03-06,-14.580000000000005,-2.1600000000000015,24945,24.945,6,46,41.1,37,0.1481481481481482,14.580000000000005,,10.364999999999995,-0.0
2024-03-07,-24.60999999999999,-3.6500000000000017,30512,30.512,7,50,43.5,37,0.1483136936204796,24.60999999999999,,5.902000000000012,-0.0
2024-03-08,25.94,3.809999999999999,3863,3.863,8,46,43.4,39,0.14687740940632224,,-25.94,29.803,-25.94
2024-03-09,-20.310000000000002,-3.0300000000000002,30541,30.541,9,45,39.3,34,0.14918759231905465,20.310000000000002,,10.230999999999998,-0.0
2024-03-10,-33.16999999999998,-4.870000000000001,36380,36.38,10,33,32.5,32,0.1468194151341575,33.16999999999998,,3.210000000000022,-0.0
2024-03-11,-35.739999999999995,-5.270000000000002,34146,34.146,11,67,50.5,33,0.14745383324006722,35.739999999999995,,-1.593999999999994,-0.0
2024-03-12,-23.990000000000002,-3.4999999999999996,27846,27.846,12,70,59.2,47,0.1458941225510629,23.990000000000002,,3.855999999999998,-0.0
2024-03-13,-27.16999999999999,-4.0,31193,31.193,13,68,56.4,50,0.14722119985277884,27.16999999999999,,4.02300000000001,-0.0
2024-03-14,26.450000000000003,3.89,3982,3.982,14,62,49.8,41,0.14706994328922493,,-26.450000000000003,30.432000000000002,-26.450000000000003
2024-03-15,-25.170000000000005,-3.71,28339,28.339,15,53,42.5,37,0.14739769566944771,25.170000000000005,,3.1689999999999934,-0.0
2024-03-16,-18.919999999999995,-2.770000000000001,27628,27.628,16,58,47.1,41,0.1464059196617337,18.919999999999995,,8.708000000000006,-0.0
2024-03-17,-8.760000000000007,-1.2799999999999987,24015,24.015,17,42,35.3,30,0.14611872146118696,8.760000000000007,,15.254999999999994,-0.0
2024-03-18,5.579999999999996,0.8100000000000014,18111,18.111,18,35,29.9,24,0.14516129032258102,,-5.579999999999996,23.690999999999995,-5.579999999999996
2024-03-19,-34.18,-5.03,34657,34.657,19,57,42.5,30,0.14716208308952605,34.18,,0.47699999999999676,-0.0
2024-03-20,-46.07000000000001,-6.749999999999997,39448,39.448,20,43,36.4,30,0.1465161710440633,46.07000000000001,,-6.622000000000007,-0.0
2024-03-21,-10.699999999999996,-1.560000000000001,26374,26.374,21,40,33.9,28,0.14579439252336462,10.699999999999996,,15.674000000000003,-0.0
2024-03-22,39.1,5.720000000000001,72,0.072,22,38,33.9,30,0.1462915601023018,,-39.1,39.172000000000004,-39.1
2024-03-23,-0.7999999999999974,-0.1200000000000001,20093,20.093,23,38,33.2,28,0.15000000000000063,0.7999999999999974,,19.293000000000003,-0.0
2024-03-24,5.359999999999999,0.8000000000000003,16603,16.603,24,47,40.5,33,0.14925373134328365,,-5.359999999999999,21.963,-5.359999999999999
2024-03-25,18.97,2.760000000000001,7645,7.645,25,62,53.2,46,0.14549288350026365,,-18.97,26.615,-18.97
2024-03-26,17.110000000000003,2.53,11342,11.342,26,55,47.3,33,0.14786674459380475,,-17.110000000000003,28.452000000000005,-17.110000000000003
2024-03-27,-10.289999999999996,-1.4999999999999996,27533,27.533,27,42,34.3,29,0.1457725947521866,10.289999999999996,,17.243000000000006,-0.0
2024-03-28,-27.75,-4.079999999999999,30561,30.561,28,50,39.7,29,0.147027027027027,27.75,,2.811,-0.0
2024-03-29,-36.61999999999999,-5.360000000000002,36615,36.615,29,53,42.3,33,0.14636810486073193,36.61999999999999,,-0.004999999999988347,-0.0
2024-03-30,-11.519999999999992,-1.7099999999999995,18156,18.156,30,61,47.0,40,0.14843750000000006,11.519999999999992,,6.636000000000006,-0.0
2024-03-31,-19.809999999999995,-2.9400000000000004,24126,24.126,31,52,42.2,38,0.14840989399293292,19.809999999999995,,4.316000000000006,-0.0
2024-04-01,-10.670000000000005,-1.5899999999999999,20800,20.8,1,48,43.8,42,0.14901593252108708,10.670000000000005,,10.129999999999995,-0.0
2024-04-02,31.03000000000001,4.6000000000000005,4693,4.693,2,44,41.5,36,0.1482436351917499,,-31.03000000000001,35.723000000000006,-31.03000000000001
2024-04-03,26.750000000000004,3.94,6589,6.589,3,38,36.1,34,0.14728971962616821,,-26.750000000000004,33.339000000000006,-26.750000000000004
2024-04-04,11.22,1.67,12902,12.902,4,44,38.9,36,0.14884135472370766,,-11.22,24.122,-11.22
2024-04-05,-7.920000000000001,-1.1699999999999993,22366,22.366,5,48,42.0,37,0.14772727272727262,7.920000000000001,,14.445999999999998,-0.0
2024-04-06,-54.00000000000002,-7.97,43576,43.576,6,52,42.9,33,0.14759259259259253,54.00000000000002,,-10.42400000000002,-0.0
2024-04-07,15.24,2.2799999999999994,7234,7.234,7,50,45.5,39,0.14960629921259838,,-15.24,22.474,-15.24
2024-04-08,-46.80999999999999,-6.890000000000001,37660,37.66,8,71,59.4,46,0.14719077120273452,46.80999999999999,,-9.149999999999991,-0.0
2024-04-09,0.63,0.09,41104,41.104,9,62,57.4,50,0.14285714285714285,,-0.63,41.734,-0.63
